NAME , MOBILE NO, ADDRESS , EMAIL ID , SOURCE OF LEAD , DISTRICT NAME ,ASSEMBLY NAME , WARD OR ZP NAME , POLLING BOOTH NO , CAMPAIGN /GROUP NAME, VOTER ID , NOTEPAD
Demo1,917411033926,DWD1,a@gmail.com1,source1,discrict1,assembly1,ward1,pooling1,campaing1,voter1,response1
Demo2,917411033922,DWD2,a@gmail.com2,source2,discrict2,assembly2,ward2,pooling2,campaing2,voter2,response2
Demo3,917411033918,DWD3,a@gmail.com3,source3,discrict3,assembly3,ward3,pooling3,campaing3,voter3,response3
Demo4,917411033914,DWD4,a@gmail.com4,source4,discrict4,assembly4,ward4,pooling4,campaing4,voter4,response4
Demo5,917411033910,DWD5,a@gmail.com5,source5,discrict5,assembly5,ward5,pooling5,campaing5,voter5,response5
Demo6,917411033906,DWD6,a@gmail.com6,source6,discrict6,assembly6,ward6,pooling6,campaing6,voter6,response6
Demo7,917411033902,DWD7,a@gmail.com7,source7,discrict7,assembly7,ward7,pooling7,campaing7,voter7,response7
Demo8,917411033898,DWD8,a@gmail.com8,source8,discrict8,assembly8,ward8,pooling8,campaing8,voter8,response8
Demo9,917411033894,DWD9,a@gmail.com9,source9,discrict9,assembly9,ward9,pooling9,campaing9,voter9,response9
Demo10,917411033890,DWD10,a@gmail.com10,source10,discrict10,assembly10,ward10,pooling10,campaing10,voter10,response10
Demo11,917411033886,DWD11,a@gmail.com11,source11,discrict11,assembly11,ward11,pooling11,campaing11,voter11,response11
Demo12,917411033882,DWD12,a@gmail.com12,source12,discrict12,assembly12,ward12,pooling12,campaing12,voter12,response12
Demo13,917411033878,DWD13,a@gmail.com13,source13,discrict13,assembly13,ward13,pooling13,campaing13,voter13,response13
Demo14,917411033874,DWD14,a@gmail.com14,source14,discrict14,assembly14,ward14,pooling14,campaing14,voter14,response14
Demo15,917411033870,DWD15,a@gmail.com15,source15,discrict15,assembly15,ward15,pooling15,campaing15,voter15,response15
Demo16,917411033866,DWD16,a@gmail.com16,source16,discrict16,assembly16,ward16,pooling16,campaing16,voter16,response16
Demo17,917411033862,DWD17,a@gmail.com17,source17,discrict17,assembly17,ward17,pooling17,campaing17,voter17,response17
Demo18,917411033858,DWD18,a@gmail.com18,source18,discrict18,assembly18,ward18,pooling18,campaing18,voter18,response18
Demo19,917411033854,DWD19,a@gmail.com19,source19,discrict19,assembly19,ward19,pooling19,campaing19,voter19,response19
Demo20,917411033850,DWD20,a@gmail.com20,source20,discrict20,assembly20,ward20,pooling20,campaing20,voter20,response20
Demo21,917411033846,DWD21,a@gmail.com21,source21,discrict21,assembly21,ward21,pooling21,campaing21,voter21,response21
Demo22,917411033842,DWD22,a@gmail.com22,source22,discrict22,assembly22,ward22,pooling22,campaing22,voter22,response22
Demo23,917411033838,DWD23,a@gmail.com23,source23,discrict23,assembly23,ward23,pooling23,campaing23,voter23,response23
Demo24,917411033834,DWD24,a@gmail.com24,source24,discrict24,assembly24,ward24,pooling24,campaing24,voter24,response24
Demo25,917411033830,DWD25,a@gmail.com25,source25,discrict25,assembly25,ward25,pooling25,campaing25,voter25,response25
Demo26,917411033826,DWD26,a@gmail.com26,source26,discrict26,assembly26,ward26,pooling26,campaing26,voter26,response26
Demo27,917411033822,DWD27,a@gmail.com27,source27,discrict27,assembly27,ward27,pooling27,campaing27,voter27,response27
Demo28,917411033818,DWD28,a@gmail.com28,source28,discrict28,assembly28,ward28,pooling28,campaing28,voter28,response28
Demo29,917411033814,DWD29,a@gmail.com29,source29,discrict29,assembly29,ward29,pooling29,campaing29,voter29,response29
Demo30,917411033810,DWD30,a@gmail.com30,source30,discrict30,assembly30,ward30,pooling30,campaing30,voter30,response30
Demo31,917411033806,DWD31,a@gmail.com31,source31,discrict31,assembly31,ward31,pooling31,campaing31,voter31,response31
Demo32,917411033802,DWD32,a@gmail.com32,source32,discrict32,assembly32,ward32,pooling32,campaing32,voter32,response32
Demo33,917411033798,DWD33,a@gmail.com33,source33,discrict33,assembly33,ward33,pooling33,campaing33,voter33,response33
Demo34,917411033794,DWD34,a@gmail.com34,source34,discrict34,assembly34,ward34,pooling34,campaing34,voter34,response34
Demo35,917411033790,DWD35,a@gmail.com35,source35,discrict35,assembly35,ward35,pooling35,campaing35,voter35,response35
Demo36,917411033786,DWD36,a@gmail.com36,source36,discrict36,assembly36,ward36,pooling36,campaing36,voter36,response36
Demo37,917411033782,DWD37,a@gmail.com37,source37,discrict37,assembly37,ward37,pooling37,campaing37,voter37,response37
Demo38,917411033778,DWD38,a@gmail.com38,source38,discrict38,assembly38,ward38,pooling38,campaing38,voter38,response38
Demo39,917411033774,DWD39,a@gmail.com39,source39,discrict39,assembly39,ward39,pooling39,campaing39,voter39,response39
Demo40,917411033770,DWD40,a@gmail.com40,source40,discrict40,assembly40,ward40,pooling40,campaing40,voter40,response40
Demo41,917411033766,DWD41,a@gmail.com41,source41,discrict41,assembly41,ward41,pooling41,campaing41,voter41,response41
Demo42,917411033762,DWD42,a@gmail.com42,source42,discrict42,assembly42,ward42,pooling42,campaing42,voter42,response42
Demo43,917411033758,DWD43,a@gmail.com43,source43,discrict43,assembly43,ward43,pooling43,campaing43,voter43,response43
Demo44,917411033754,DWD44,a@gmail.com44,source44,discrict44,assembly44,ward44,pooling44,campaing44,voter44,response44
Demo45,917411033750,DWD45,a@gmail.com45,source45,discrict45,assembly45,ward45,pooling45,campaing45,voter45,response45
Demo46,917411033746,DWD46,a@gmail.com46,source46,discrict46,assembly46,ward46,pooling46,campaing46,voter46,response46
Demo47,917411033742,DWD47,a@gmail.com47,source47,discrict47,assembly47,ward47,pooling47,campaing47,voter47,response47
Demo48,917411033738,DWD48,a@gmail.com48,source48,discrict48,assembly48,ward48,pooling48,campaing48,voter48,response48
Demo49,917411033734,DWD49,a@gmail.com49,source49,discrict49,assembly49,ward49,pooling49,campaing49,voter49,response49
Demo50,917411033730,DWD50,a@gmail.com50,source50,discrict50,assembly50,ward50,pooling50,campaing50,voter50,response50
Demo51,917411033726,DWD51,a@gmail.com51,source51,discrict51,assembly51,ward51,pooling51,campaing51,voter51,response51
Demo52,917411033722,DWD52,a@gmail.com52,source52,discrict52,assembly52,ward52,pooling52,campaing52,voter52,response52
Demo53,917411033718,DWD53,a@gmail.com53,source53,discrict53,assembly53,ward53,pooling53,campaing53,voter53,response53
